peptide repair rescue sealed ends,7.17,13.90,16,22,-7,0,0,0,0,18,66.05,30%,73%,274,4045787430523
Page 9,,,,,,,,,,,,,,,
Brand Schwarzkopf - Category Internal Marketing,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
£10 Product Voucher,0.00,-10.00,0,32,-222,1,3,0,0,190,-320.00,100%,0%,NA,NA
£5 Product voucher,0.00,-5.00,0,23,-166,1,1,0,0,158,-115.00,100%,0%,NA,NA
Brand Schwarzkopf - Category Hair Products (Prep),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
FIBRE CLINIX Hydrate Shampoo,8.52,17.00,0,1,-1,0,0,0,0,0,3.38,28%,0%,NA,4045787572025
Brand Schwarzkopf Retail - Category Gift Pack,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Xmas Pack Colour Freeze ,14.50,27.80,0,1,-1,0,0,0,0,0,-14.50,NA,0%,NA,4045787661187
Xmas Pack Moisture Kick,14.50,27.80,0,2,-2,1,1,0,0,0,26.60,48%,0%,NA,4045787661262
Brand Schwarzkopf Retail - Category Hair Products (Wet to Dry),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Chro ID Bold Pink ,14.00,27.78,0,1,-3,0,0,0,0,1,-14.00,NA,0%,NA,4045787534238
Chro ID Bold Red,14.00,27.78,0,2,-2,0,0,0,0,2,13.68,33%,0%,NA,4045787533279
Chro ID Large Classic 7-77,21.00,41.70,0,1,-1,0,0,0,0,1,10.28,33%,0%,NA,4045787534115
"Chro ID Large Classic 9,5-1",21.00,41.70,1,2,-2,0,0,0,0,1,-10.72,-34%,50%,267,4045787533033
Chro ID Retail Mask 6-12,12.00,24.50,0,2,-2,0,0,0,0,1,18.88,44%,0%,NA,4045787533910
Chro ID Retail Mask 7-77,12.00,24.50,0,4,-4,0,0,0,0,1,1.00,2%,0%,NA,4045787531473
"Chro ID Retail Mask 9,5-1",12.00,24.50,0,5,-6,0,0,0,0,4,19.64,25%,0%,NA,4045787538113
"Chro ID Retail Mask 9,5-4",12.00,24.50,0,2,-2,0,0,0,0,2,12.76,35%,0%,NA,4045787531510
Page 10,,,,,,,,,,,,,,,
